No,部屋名,X座標,Y座標,radius,イベント順序,イベント名,イベント本文,選択肢１名称,選択肢１本文（結果）,選択肢１経過時間,選択肢２名称,選択肢２本文（結果）,選択肢２経過時間,選択肢３名称,選択肢３本文（結果）,選択肢３経過時間,選択肢４名称,選択肢４本文（結果）,選択肢４経過時間
4,結石破砕室,100,644,10,2,配管ガスの確認,壁の酸素アウトレット付近からシューという音。,元栓を閉鎖,酸素漏れによる爆発・火災を防いだ。,3,テープで塞ぐ,圧力で吹き飛び、破裂音で鼓膜損傷。,5,換気扇を回す,スイッチの火花で引火し爆発。【死亡】,0,保留,対応を後回しにし、状況を見る。,1
4,結石破砕室,100,644,10,3,看護師の要請,「誰か手伝って！」と看護師が通りかかる。,同行し協力する,専門知識を活かし、搬送を手伝えた。,10,断る,人手不足の現場で孤立を深める。,1,指示を待つ,指示系統が麻痺しており、無駄な時間を過ごす。,5,保留,対応を後回しにし、状況を見る。,1
5,X-TV膀胱鏡,41,763,30,1,汚水逆流,トイレ直結の検査室。汚水が床に広がっている。,長靴・防護具着用,感染防御を徹底し移動。,5,そのまま歩く,靴が汚染され、院内に菌を広げた。,1,高い所を飛び移る,着地に失敗し汚水の中へ転倒。,2,保留,対応を後回しにし、状況を見る。,1
5,X-TV膀胱鏡,41,763,30,2,軟性鏡の破損,高価な内視鏡がブラブラし、壁に当たりそうだ。,ケースに収納,破損を防ぎ、後の診療に貢献。,3,テープで固定,簡易的だが揺れには耐えた。,2,手で持ち続ける,自分の避難が遅れる。,5,保留,対応を後回しにし、状況を見る。,1
5,X-TV膀胱鏡,41,763,30,3,感染患者の避難,検査中の患者は接触感染（VRE）保菌者だ。,専用ルートで避難,他患者への感染拡大を防止。,10,一般患者と合流,避難優先だが感染リスク大。,5,個室に隔離継続,建屋倒壊リスクがあり危険。,0,保留,対応を後回しにし、状況を見る。,1
6,歯科CT,89,704,10,1,狭い部屋での揺れ,歯科用CT室。機材が密集している。,廊下へ出る,狭い部屋での圧死リスクを回避。,1,機器を支える,機器と壁に挟まれ圧迫骨折。,0,隅にうずくまる,棚が倒れてきて生き埋め。,0,保留,対応を後回しにし、状況を見る。,1
6,歯科CT,89,704,10,2,ガラス棚の破損,フィルム保管棚のガラスが割れている。,手袋で破片除去,安全な通路を確保した。,3,素手で片付ける,手指を切り、感染リスク増。,5,上から踏みつける,靴裏を貫通し負傷。,2,保留,対応を後回しにし、状況を見る。,1
6,歯科CT,89,704,10,3,電源コードのスパーク,コンセント付近で火花が見える。,プラグを抜く,初期消火成功。火災防止。,2,水をかける,感電事故発生。【死亡】,0,見なかったことにする,後に火災発生。,0,保留,対応を後回しにし、状況を見る。,1
7,操作北,158,406,10,1,モニター倒壊,3面モニターが倒れてきそうだ。,椅子でガード・伏せる,身を守ることを最優先した。正解。,0,手で支える,重みで手首を骨折。以後の作業不能。,0,PC本体を守る,モニターが頭に直撃。【気絶】,0,保留,対応を後回しにし、状況を見る。,1
7,操作北,158,406,10,2,ガラス飛散防止,操作室の鉛ガラスにヒビ。崩れそうだ。,段ボール養生,飛散を最小限に抑え、通路確保。,5,背を向けて作業,余震でガラスが降り注ぎ、背中負傷。,10,ハンマーで割る,破片が飛び散り、部屋が使用不能に。,5,保留,対応を後回しにし、状況を見る。,1
7,操作北,158,406,10,3,情報収集（PHS）,院内PHSが繋がらない。,直接救急へ走る,確実な情報収集と安否確認ができた。,5,かけ直し続ける,回線パンクで繋がらず、30分浪費。,30,待機する,放射線科が無人と思われ、信頼失墜。,10,保留,対応を後回しにし、状況を見る。,1
8,操作南,162,568,10,1,キーボードへの落下物,天井パネルが落ち、操作卓を直撃。,電源コードを抜く,誤作動とショートを防ぐ。,2,破片を手で払う,鋭利な金具で手を切る。,5,PCを起動する,異物が挟まりショート発火。,5,保留,対応を後回しにし、状況を見る。,1
8,操作南,162,568,10,2,ドア開放の確認,唯一の出口であるドアが歪んでいる。,ドアストッパー設置,避難路を確保した。,2,閉めて鍵をかける,余震で完全に開かなくなる。,5,無視する,自動ロックがかかり閉じ込められる。,10,保留,対応を後回しにし、状況を見る。,1
8,操作南,162,568,10,3,マイクでの誘導,放送マイクが生きていた。,全館放送を入れる,患者を落ち着かせることに成功。,3,助けを呼ぶ,自分の恐怖を伝え、混乱を招く。,2,マイクを叩く,騒音で不安を煽る。,1,保留,対応を後回しにし、状況を見る。,1
9,待合,215,445,10,1,パニック発生,患者たちが叫び声を上げ、出口に殺到。,大声で「伏せて！」,数名が冷静さを取り戻した。,1,自分だけ逃げる,将棋倒しが発生し死傷者が出た。,0,非常扉を開放,出口を確保し流動を促した。,3,保留,対応を後回しにし、状況を見る。,1
9,待合,215,445,10,2,トリアージ開始,出血患者と胸痛患者がいる。,胸痛患者を優先,クラッシュ症候群リスクを考慮。,5,出血患者を優先,見た目の派手さに惑わされた。,3,全員に待機指示,状態悪化を見逃すリスクあり。,1,保留,対応を後回しにし、状況を見る。,1
9,待合,215,445,10,3,残留者確認,全員避難したように見える。,椅子の下・トイレ確認,うずくまっていた聴覚障害者を発見。,5,すぐ避難する,逃げ遅れを見捨てた。,1,大声で呼びかける,返事がなく見逃した。,2,保留,対応を後回しにし、状況を見る。,1
10,マンモ,245,605,10,1,圧迫板のリリース,撮影中に停電。患者の乳房が挟まったまま。,手動ダイヤルで解除,患者を解放し、外傷を防いだ。,2,無理に引っ張る,患者に激痛を与え、裂傷を負わせる。,5,電源復旧を待つ,長時間圧迫で患者が虚血壊死。,30,保留,対応を後回しにし、状況を見る。,1
10,マンモ,245,605,10,2,装置の転倒防止,縦長のマンモ装置が揺れている。,患者と共に退室,装置から離れ安全確保。,1,体で支える,重量に負け、装置の下敷きに。,0,壁に押し付ける,壁ごと崩落し巻き込まれる。,0,保留,対応を後回しにし、状況を見る。,1
10,マンモ,245,605,10,3,女性患者への配慮,検査着の患者が寒さと恐怖で震えている。,バスタオルを渡す,精神的安寧と保温を提供。,2,「逃げろ」と言う,半裸に近い状態で廊下に出す。,1,自分の上着を貸す,自分が寒くなり体調崩す。,5,保留,対応を後回しにし、状況を見る。,1
11,骨塩定量測定,275,551,10,1,ベッド上患者の保護,患者がベッドから落ちそうだ。,サイドレールを上げる,転落を防止した。基本動作。,1,覆いかさなる,天井落下物から守ったが自分が負傷。,5,見守る,患者が転落し骨折。,0,保留,対応を後回しにし、状況を見る。,1
11,骨塩定量測定,275,551,10,2,解析PCの異臭,PCから焦げ臭い匂いがする。,コンセントを抜く,火災の種を絶った。,1,水をかける,感電事故発生。,0,窓を開ける,酸素供給で発火を助長。,2,保留,対応を後回しにし、状況を見る。,1
11,骨塩定量測定,275,551,10,3,骨粗鬆症患者の誘導,患者は高齢で足元がおぼつかない。,手を引いて誘導,転倒させずに避難完了。,5,車椅子を探す,見つからず時間をロス。,10,先に行くよう促す,患者が廊下で転倒し骨折。,1,保留,対応を後回しにし、状況を見る。,1
12,X線TV（北）,267,386,20,1,宙吊りの患者,透視台が立位で停電。患者が宙吊り状態。,手動レバーで倒す,油圧解除でゆっくり水平に戻し救出。,10,バンドを外す,患者が落下し大腿骨骨折。【✕】,1,抱きかかえる,体重を支えきれず共倒れ。,5,保留,対応を後回しにし、状況を見る。,1
12,X線TV（北）,267,386,20,2,バリウム散乱,バリウムがこぼれ、床が滑る。,シーツを敷く,滑り止めを作り、転倒なしで移動。,5,水で洗い流す,範囲が広がり収拾つかず。,10,慎重に歩く,滑って後頭部を強打。【重傷】,1,保留,対応を後回しにし、状況を見る。,1
12,X線TV（北）,267,386,20,3,トイレ閉じ込め,トイレから助けを呼ぶ声。,ドアを蹴破る,緊急避難措置として正解。救出成功。,5,鍵を探す,変形で鍵など無意味。,10,業者を呼ぶ,電話など繋がるはずもない。,5,保留,対応を後回しにし、状況を見る。,1
13,X線TV（南）,278,508,20,1,起倒台の挟まれ,ベッドの下に物が挟まり、傾斜できない。,挟まっている物を除去,安全に水平に戻せた。,3,無理やり倒す,モーターが焼き付き発火。,5,そのまま降ろす,患者が滑り落ちる。,1,保留,対応を後回しにし、状況を見る。,1
13,X線TV（南）,278,508,20,2,吸引ボトルの転倒,吸引瓶が割れ、廃液が漏れている。,吸水シートで覆う,感染拡大を防止。,3,素手で拭く,感染症に罹患する。,5,無視して踏む,靴裏が汚染され菌を撒き散らす。,1,保留,対応を後回しにし、状況を見る。,1
13,X線TV（南）,278,508,20,3,防護エプロン搬出,避難時、鉛エプロンを持っていくか。,置いていく,身軽さを優先。正しい判断。,1,着て逃げる,重すぎて体力を消耗。,5,頭に被る,視界が悪く転倒の原因に。,2,保留,対応を後回しにし、状況を見る。,1
14,TV操作,158,406,10,1,機器の固定確認,操作卓が大きく動いている。,キャスターロック確認,暴走による衝突を防いだ。,1,体で止める,挟まれて太もも打撲。,3,紐で縛る,固定箇所が破損し意味なし。,5,保留,対応を後回しにし、状況を見る。,1
14,TV操作,158,406,10,2,記録の保存,検査中の画像が保存されていない。,手動保存を試みる,バッテリー残量内で記録完了。,2,諦めて電源断,再撮影が必要になり患者負担増。,1,電源コードを抜く,データ破損のリスク。,1,保留,対応を後回しにし、状況を見る。,1
14,TV操作,158,406,10,3,連絡手段の確保,内線が通じない。,自分のスマホ使用,SNS等で外部情報を確認。,2,叫ぶ,誰にも届かず喉を痛める。,1,伝書鳩を探す,現実逃避。,0,保留,対応を後回しにし、状況を見る。,1
15,当直,382,666,5,1,身支度の完了,寝ていた。靴がない。,スニーカーを履く,足元の安全確保。最優先。,1,スリッパで出る,ガラスで足を切り活動不能に。,2,裸足で飛び出す,即座に怪我をして終了。,0,保留,対応を後回しにし、状況を見る。,1
15,当直,382,666,5,2,装備品の確保,ヘルメットとライト。,装備して部屋を出る,生存率と活動効率が大幅向上。,2,手ぶらで出る,落下物で頭部負傷。,1,スマホだけ持つ,片手が塞がり作業効率低下。,1,保留,対応を後回しにし、状況を見る。,1
15,当直,382,666,5,3,食料の確保,非常食がロッカーにある。,ポケットに入れる,長期戦に備えた。,1,その場で食べる,喉が渇き、水が欲しくなる。,5,全部カバンに詰める,重くて動けなくなる。,3,保留,対応を後回しにし、状況を見る。,1
16,受（受付）,167,313,5,1,受付カウンター崩壊,カウンター上のPCや書類が散乱。,カウンター下に潜る,落下物から身を守る。,1,書類を拾う,棚が倒れてきて下敷き。,0,立ち尽くす,天井照明が直撃。,0,保留,対応を後回しにし、状況を見る。,1
16,受（受付）,167,313,5,2,カルテの保護,紙カルテが散らばっている。,ブルーシートをかける,個人情報紛失と汚損防止。,3,拾い集める,余震で再散乱し無駄足。,10,燃やす,混乱に乗じた放火。犯罪。,0,保留,対応を後回しにし、状況を見る。,1
16,受（受付）,167,313,5,3,自動ドアの開放,停電で閉じたまま。,手動開放し固定,避難経路を確保。,2,ガラスを割る,破片で怪我人続出。,5,こじ開けて放置,勝手に閉まり挟まれ事故。,3,保留,対応を後回しにし、状況を見る。,1
17,X線TV（南）廊下,338,492,5,1,プロテクター散乱,防護衣ハンガーが倒れ道を塞ぐ。,端に寄せる,通路確保。,3,またいで通る,足を取られて転倒。,1,引きずって運ぶ,重くて腰を痛める。,5,保留,対応を後回しにし、状況を見る。,1
17,X線TV（南）廊下,338,492,5,2,防火扉の作動,防火扉が閉まっている。,くぐり戸を確認,安全に通過。,2,無理やり開ける,重くて開かない。,5,蹴る,足を痛める。,1,保留,対応を後回しにし、状況を見る。,1
17,X線TV（南）廊下,338,492,5,3,不明者の捜索,誰かの靴が落ちている。,大声で呼びかける,生存確認を試みる。,2,無視する,見殺しにする。,0,靴を持って探す,意味のない行動。,5,保留,対応を後回しにし、状況を見る。,1
18,ミーティング学生,386,473,10,1,学生の安否確認,実習生がいるはずだ。,机の下を確認,怯えている学生を発見・保護。,3,部屋を覗くだけ,見落としが発生。,1,先に逃げる,指導者責任を放棄。,0,保留,対応を後回しにし、状況を見る。,1
18,ミーティング学生,386,473,10,2,ホワイトボード落下,ボードが倒れている。,起こして壁に寄せる,通路確保。,2,またぐ,キャスターで滑って転倒。,1,分解する,無駄な時間。,10,保留,対応を後回しにし、状況を見る。,1
18,ミーティング学生,386,473,10,3,情報の共有,学生がパニック状態。,役割を与えて落ち着かせる,戦力化し、パニック鎮静。,5,怒鳴りつける,更にパニックを煽る。,1,放置する,勝手に動き回り二次被害。,2,保留,対応を後回しにし、状況を見る。,1
19,CPU室,382,555,10,1,サーバーラック転倒,ラックが傾いている。,入室せず扉を閉める,倒壊による圧死を防ぐ。,1,支えに入る,重量数百キロの下敷き。,0,ケーブルを抜く,ショートし感電。,2,保留,対応を後回しにし、状況を見る。,1
19,CPU室,382,555,10,2,空調停止による熱,サーバー室が異常に暑い。,ドアを開放する,機器の熱暴走を遅らせる。,2,水を撒く,精密機器破損・感電。,0,扇風機を探す,停電で動かない。,3,保留,対応を後回しにし、状況を見る。,1
19,CPU室,382,555,10,3,火災アラーム,煙感知器が作動。,ハロン消火設備作動確認,窒息しないよう即時退避。,2,中に入って確認,ガス消火設備で窒息死。,0,水をかける,電気火災に水は厳禁。,0,保留,対応を後回しにし、状況を見る。,1
20,ミーティングルーム前廊下,384,412,5,1,棚の転倒,書類棚が倒れ道を塞ぐ。,上を通行,足場を確認し慎重に通過。,3,片付ける,重すぎて動かない。腰痛。,5,下をくぐる,余震で潰される。,0,保留,対応を後回しにし、状況を見る。,1
20,ミーティングルーム前廊下,384,412,5,2,ガラス片の散乱,額縁が落ちて割れている。,靴のまま端を歩く,安全確保。,1,素手で拾う,怪我をする。,2,這って進む,手膝を怪我する。,3,保留,対応を後回しにし、状況を見る。,1
20,ミーティングルーム前廊下,384,412,5,3,避難誘導,迷っている外来患者。,出口へ手招き,的確に誘導。,2,背中を押す,転倒させる。,1,無視する,患者が徘徊。,0,保留,対応を後回しにし、状況を見る。,1
21,小部屋,334,378,5,1,閉じ込め確認,ドアが開かない。,大声を出し助けを呼ぶ,存在を知らせる。,2,ドアを破壊,体力を消耗。,10,静かに待つ,発見が遅れる。,5,保留,対応を後回しにし、状況を見る。,1
21,小部屋,334,378,5,2,懐中電灯の確保,備品のライトがある。,点灯確認し携帯,光源確保。,1,電池を抜く,意味不明。,1,投げ捨てる,破損。,0,保留,対応を後回しにし、状況を見る。,1
21,小部屋,334,378,5,3,危険物の確認,薬品がないか。,確認し安全確保,ガス発生なし。,1,味見する,中毒死。,0,ばら撒く,犯罪。,0,保留,対応を後回しにし、状況を見る。,1
22,EP,308,198,5,1,精密機器の保全,アブレーション装置。,電源OFF,過電流保護。,2,カバーを掛ける,発熱し発火。,5,持ち出す,重くて落とす。,5,保留,対応を後回しにし、状況を見る。,1
22,EP,308,198,5,2,ケーブルのスパーク,配線から火花。,ブレーカー断,火災防止。,2,手で握る,感電死。,0,息で吹き消す,効果なし。,1,保留,対応を後回しにし、状況を見る。,1
22,EP,308,198,5,3,清潔物品の保護,カテーテル類。,扉を閉める,汚染防止。,1,使い捨てにする,資源の無駄。,0,持ち出す,不潔になる。,2,保留,対応を後回しにし、状況を見る。,1
23,心カテ北廊下,337,131,10,1,壁の亀裂,壁にX字の亀裂。,中央を歩く,倒壊リスク回避。,2,壁に寄りかかる,崩落に巻き込まれる。,0,亀裂を触る,指を挟む。,1,保留,対応を後回しにし、状況を見る。,1
23,心カテ北廊下,337,131,10,2,水漏れ発見,天井から水。,バケツ設置,転倒防止。,3,指で塞ぐ,止められない。,1,飲む,感染リスク。,0,保留,対応を後回しにし、状況を見る。,1
23,心カテ北廊下,337,131,10,3,ストレッチャー放置,空のストレッチャー。,ストッパー固定,暴走防止。,2,乗って遊ぶ,不謹慎かつ危険。,1,蹴り飛ばす,破損。,1,保留,対応を後回しにし、状況を見る。,1
24,心カテ北,510,137,20,1,Cアーム暴走,術中、アームが揺れる。,アーム退避・ロック,患者保護。,2,覆いかさなる,アームに挟まれ重傷。,0,手で止める,故障・怪我。,1,保留,対応を後回しにし、状況を見る。,1
24,心カテ北,510,137,20,2,シース処理,動脈に管が入ったまま。,抜去・圧迫止血,搬送準備。,10,そのまま搬送,抜けて大量出血。,2,放置,血管損傷。,5,保留,対応を後回しにし、状況を見る。,1
24,心カテ北,510,137,20,3,IABPバッテリー,補助循環使用中。,残量確認・急搬送,生命維持。,5,電源探す,時間切れ。,10,ポンプ停止,患者死亡。,0,保留,対応を後回しにし、状況を見る。,1
25,心カテ間,510,170,10,1,除細動器の確保,DCが落ちそうだ。,床に下ろす,使用可能状態維持。,2,棚に戻す,再落下し破損。,1,分解点検,今やるべきでない。,10,保留,対応を後回しにし、状況を見る。,1
25,心カテ間,510,170,10,2,ボンベの固定,酸素ボンベが散乱。,チェーン固定確認,ロケット化防止。,3,横に寝かせる,転がり防止（次善策）。,2,バルブを開ける,酸素漏洩。,0,保留,対応を後回しにし、状況を見る。,1
25,心カテ間,510,170,10,3,薬剤の散乱,アンプルが割れている。,近づかない,受傷防止。,1,素手で拾う,切り傷。,2,舐める,中毒。,0,保留,対応を後回しにし、状況を見る。,1
26,スタッフコーナー,605,194,5,1,情報端末の確保,電子カルテ端末。,電源確保し情報収集,患者情報入手。,3,ゲームをする,論外。,0,分解する,器物損壊。,0,保留,対応を後回しにし、状況を見る。,1
26,スタッフコーナー,605,194,5,2,内線電話の対応,電話が鳴っている。,出る,状況把握。,2,無視する,情報途絶。,0,切る,通信遮断。,0,保留,対応を後回しにし、状況を見る。,1
26,スタッフコーナー,605,194,5,3,筆記具の確保,油性ペンとメモ。,ポケットに入れる,トリアージ準備。,1,落書きする,無駄。,0,捨てる,後で困る。,0,保留,対応を後回しにし、状況を見る。,1
27,血管造影（心カテ）,501,321,20,1,大型モニター落下,天吊りモニターが外れかけ。,直下退避,人身事故防止。,1,支える,圧死。,0,見上げる,顔面に落下。,0,保留,対応を後回しにし、状況を見る。,1
27,血管造影（心カテ）,501,321,20,2,清潔野汚染,埃が舞う。,創部閉鎖・保護,感染防止。,15,手術続行,感染症発症。,10,消毒液散布,機器故障。,5,保留,対応を後回しにし、状況を見る。,1
27,血管造影（心カテ）,501,321,20,3,インジェクター暴走,造影剤注入器。,電源プラグ抜く,誤注入防止。,2,ボタン連打,誤作動。,1,叩く,破損。,0,保留,対応を後回しにし、状況を見る。,1
28,血管撮影室（南）,430,516,7,1,カテーテル棚倒壊,カテーテルが散乱。,踏まないよう迂回,物品保護。,2,片付ける,時間ロス。,10,上を歩く,破損・転倒。,2,保留,対応を後回しにし、状況を見る。,1
28,血管撮影室（南）,430,516,7,2,無影灯の揺れ,ライトが大きく揺れる。,壁際へ退避,頭上落下回避。,1,押さえる,火傷・怪我。,0,直下に立つ,直撃。,0,保留,対応を後回しにし、状況を見る。,1
28,血管撮影室（南）,430,516,7,3,バイタルモニター,アラームが鳴る。,患者確認,容体急変対応。,3,音を消す,異変見逃し。,1,電源切る,監視放棄。,0,保留,対応を後回しにし、状況を見る。,1
29,血管撮影室（南）,493,512,7,1,足元の液体,不明な液体溜まり。,触らず迂回,薬品・感染回避。,1,臭いを嗅ぐ,有毒ガス吸引。,0,拭き取る,手荒れ・感染。,5,保留,対応を後回しにし、状況を見る。,1
29,血管撮影室（南）,493,512,7,2,配線のスパーク,床の配線から煙。,ブレーカー断,火災防止。,3,水をかける,感電。,0,扇ぐ,火勢拡大。,0,保留,対応を後回しにし、状況を見る。,1
29,血管撮影室（南）,493,512,7,3,扉の変形,閉じ込められた。,備付ハンマー使用,脱出。,5,泣く,解決しない。,10,体当たり,怪我。,2,保留,対応を後回しにし、状況を見る。,1
30,血管撮影室（南）操作,542,568,5,1,鉛ガラスのヒビ,ガラスが割れそう。,養生テープ補強,飛散防止。,3,叩く,崩落。,0,睨む,意味なし。,0,保留,対応を後回しにし、状況を見る。,1
30,血管撮影室（南）操作,542,568,5,2,マイクの使用,検査室へ呼びかけ。,患者安否確認,安心感付与。,2,叫ぶ,恐怖を伝播。,1,歌う,不謹慎。,0,保留,対応を後回しにし、状況を見る。,1
30,血管撮影室（南）操作,542,568,5,3,データのバックアップ,サーバー接続確認。,可能なら保存,データ保全。,3,諦める,再検査リスク。,1,強制終了,データ破損。,1,保留,対応を後回しにし、状況を見る。,1
31,技師室カンファ,627,471,10,1,連絡網の確保,緊急連絡網ファイル。,持ち出す,招集準備。,1,シュレッダーにかける,混乱。,0,書き換える,妨害。,0,保留,対応を後回しにし、状況を見る。,1
31,技師室カンファ,627,471,10,2,机の上のPC,落下しそう。,床に置く,破損防止。,1,接着剤で貼る,無意味。,5,放置,落下・破損。,0,保留,対応を後回しにし、状況を見る。,1
31,技師室カンファ,627,471,10,3,テレビ情報,ニュース流す。,情報収集,広域被害把握。,2,チャンネル争い,無駄。,1,破壊,情報遮断。,0,保留,対応を後回しにし、状況を見る。,1
32,となり部屋,718,464,5,1,クロノロジー準備,模造紙とペン。,壁に貼る,時系列記録準備。,2,床に敷く,汚れる。,1,折り紙にする,遊ぶな。,0,保留,対応を後回しにし、状況を見る。,1
32,となり部屋,718,464,5,2,ロッカーの傾き,倒れてきそう。,近づかない,下敷き回避。,1,支える,圧死。,0,中身を出す,間に合わない。,5,保留,対応を後回しにし、状況を見る。,1
32,となり部屋,718,464,5,3,貴重品管理,財布などが散乱。,金庫/鍵付きへ,盗難防止。,5,ポケットに入れる,横領疑い。,1,放置,盗難。,0,保留,対応を後回しにし、状況を見る。,1
33,技師休憩,751,462,5,1,家族への連絡,安否が心配。,LINE一通のみ,回線負荷軽減。,1,電話連打,繋がり難い・迷惑。,10,帰宅する,職場放棄。,0,保留,対応を後回しにし、状況を見る。,1
33,技師休憩,751,462,5,2,休憩中のスタッフ,寝ている人がいる。,起こして避難,人命救助。,2,放置,見殺し。,0,靴を隠す,いたずら。,0,保留,対応を後回しにし、状況を見る。,1
33,技師休憩,751,462,5,3,冷蔵庫の転倒,中身が出ている。,プラグ抜く,漏電防止。,1,食べる,食中毒。,2,戻す,また落ちる。,3,保留,対応を後回しにし、状況を見る。,1
34,看護師休憩,886,436,5,1,看護師との連携,看護師がいる。,情報共有,チーム医療。,2,無視,連携不足。,0,喧嘩売る,孤立。,0,保留,対応を後回しにし、状況を見る。,1
34,看護師休憩,886,436,5,2,ケトル転倒,熱湯がこぼれている。,近づかない,火傷防止。,1,拭く,火傷。,2,水を足す,意味なし。,0,保留,対応を後回しにし、状況を見る。,1
34,看護師休憩,886,436,5,3,仮眠ベッド,崩れている。,整頓してスペース確保,怪我人収容場所。,5,寝る,サボり。,0,壊す,器物損壊。,0,保留,対応を後回しにし、状況を見る。,1
35,CT（南）,762,317,20,1,ガントリー内患者,停電で寝台動かず。,手動解除で救出,挟まれ回避。,3,無理に引く,腰痛・故障。,2,放置,患者パニック。,10,保留,対応を後回しにし、状況を見る。,1
35,CT（南）,762,317,20,2,UPS警告音,バッテリー低下。,シャットダウン,システム保護。,5,警告音停止のみ,システム破損。,1,無視,再起不能。,0,保留,対応を後回しにし、状況を見る。,1
35,CT（南）,762,317,20,3,天井漏水,ガントリー上に水。,ビニール掛ける,機器水没防止。,5,バケツ置く,守りきれない。,2,祈る,効果なし。,0,保留,対応を後回しにし、状況を見る。,1
36,CT（操作）,766,202,5,1,インジェクター操作,造影剤注入中。,中止・抜針,血管外漏出防止。,2,続行,漏出・壊死。,5,速度上げる,血管破裂。,0,保留,対応を後回しにし、状況を見る。,1
36,CT（操作）,766,202,5,2,読影モニタ転倒,高精細モニタ。,床に下ろす,破損防止。,2,ガムテ固定,耐えきれない。,5,支える,自分が動けない。,5,保留,対応を後回しにし、状況を見る。,1
36,CT（操作）,766,202,5,3,画像転送確認,PACSへの転送。,未転送を確認,再送準備。,2,諦める,画像紛失。,0,サーバー蹴る,故障。,0,保留,対応を後回しにし、状況を見る。,1
37,CT（北）,775,202,10,1,患者の不安対応,閉所恐怖症の患者。,声掛け・接触,パニック防止。,2,放置,過呼吸。,5,拘束する,人権侵害。,0,保留,対応を後回しにし、状況を見る。,1
37,CT（北）,775,202,10,2,ファントム落下,校正用ファントム。,拾って箱へ,破損・躓き防止。,2,蹴る,破損。,0,投げる,危険。,0,保留,対応を後回しにし、状況を見る。,1
